# Lista completa de CondActs DAAD originales extraída del manual
# Formato: ID,Nombre,Tipo(C=Condición,A=Acción)

# Basado en DAAD_CondActs_Reference.md - Tabla completa con IDs 0-127
# Excluidos: 120, 122, 124 (internos)

AT,0,C
NOTAT,1,C
ATGT,2,C
ATLT,3,C
PRESENT,4,C
ABSENT,5,C
WORN,6,C
NOTWORN,7,C
CARRIED,8,C
NOTCARR,9,C
CHANCE,10,C
ZERO,11,C
NOTZERO,12,C
EQ,13,C
GT,14,C
LT,15,C
ADJECT1,16,C
ADVERB,17,C
SFX,18,A
DESC,19,A
QUIT,20,C
END,21,A
DONE,22,A
OK,23,A
ANYKEY,24,A
SAVE,25,A
LOAD,26,A
DPRINT,27,A
DISPLAY,28,A
CLS,29,A
DROPALL,30,A
AUTOG,31,A
AUTOD,32,A
AUTOW,33,A
AUTOR,34,A
PAUSE,35,A
SYNONYM,36,A
GOTO,37,A
MESSAGE,38,A
REMOVE,39,A
GET,40,A
DROP,41,A
WEAR,42,A
DESTROY,43,A
CREATE,44,A
SWAP,45,A
PLACE,46,A
SET,47,A
CLEAR,48,A
PLUS,49,A
MINUS,50,A
LET,51,A
NEWLINE,52,A
PRINT,53,A
SYSMESS,54,A
ISAT,55,C
SETCO,56,A
SPACE,57,A
HASAT,58,C
HASNAT,59,C
LISTOBJ,60,A
EXTERN,61,A
RAMSAVE,62,A
RAMLOAD,63,A
BEEP,64,A
PAPER,65,A
INK,66,A
BORDER,67,A
PREP,68,C
NOUN2,69,C
ADJECT2,70,C
ADD,71,A
SUB,72,A
PARSE,73,A
LISTAT,74,A
PROCESS,75,A
SAME,76,C
MES,77,A
WINDOW,78,A
NOTEQ,79,C
NOTSAME,80,C
MODE,81,A
WINAT,82,A
TIME,83,A
PICTURE,84,A
DOALL,85,A
MOUSE,86,A
GFX,87,A
ISNOTAT,88,C
WEIGH,89,A
PUTIN,90,A
TAKEOUT,91,A
NEWTEXT,92,A
ABILITY,93,A
WEIGHT,94,A
RANDOM,95,A
INPUT,96,A
SAVEAT,97,A
BACKAT,98,A
PRINTAT,99,A
WHATO,100,A
CALL,101,A
PUTO,102,A
NOTDONE,103,A
AUTOP,104,A
AUTOT,105,A
MOVE,106,A
WINSIZE,107,A
REDO,108,A
CENTRE,109,A
EXIT,110,A
INKEY,111,C
BIGGER,112,C
SMALLER,113,C
ISDONE,114,C
ISNDONE,115,C
SKIP,116,A
RESTART,117,A
TAB,118,A
COPYOF,119,A
COPYOO,121,A
COPYFO,123,A
COPYFF,125,A
COPYBF,126,A
RESET,127,A
